US650,35882123,"create Solr framework",COMPLETED,9,Sprint 1
US756,35903443,"UX design for contract closeout record",COMPLETED,0,Sprint 1
US766,35912561,"Create ICMS Data Sample",COMPLETED,0,Sprint 1
US787,35914372,"Identify PCCS Fields",COMPLETED,0,Sprint 1
US913,35943743,"Chores - architect",COMPLETED,0,Sprint 1
US919,35960549,"[Unfinished] Analyze VIPERS Data - Part 1",NONE,0,Sprint 1
US920,35960641,"[Unfinished] UX design for viewing and entering workflow status",NONE,0,Sprint 1
US921,35960724,"[Unfinished] create new contract closeout record",COMPLETED,9,Sprint 1
US922,35961003,"[Unfinished] create user roles and permissions",COMPLETED,0,Sprint 1
US923,35961148,"[Unfinished] Select Property Zero Certifiers people",COMPLETED,9,Sprint 1
US924,35961308,"[Unfinished] Obtain Access to ICMS Data Source",COMPLETED,0,Sprint 1
US1184,36070613,"Create list of required Property data",COMPLETED,0,Sprint 1
US1214,36074883,"Identify Data Owners",NONE,0,Sprint 1
US1215,36074941,"Contact Data Owners",NONE,0,Sprint 1
US1653,36136299,"ETL Data Analysis - PCCS",IN_PROGRESS,0,Sprint 1
US1656,36136734,"BA Data Analysis - PCCS - Part 1",COMPLETED,0,Sprint 1
US236,35808211,"sprint 1 feedback changes [should total < 10 hours]",COMPLETED,0,Sprint 2
US269,35811609,"sprint 2 defect fixes, refactoring, etc",COMPLETED,0,Sprint 2
US763,35910874,"[Continued] create user roles and permissions",COMPLETED,0,Sprint 2
US793,35914905,"BA Data Analysis - SPCS",COMPLETED,0,Sprint 2
US926,35961706,"SOLR POC Support - BA",COMPLETED,0,Sprint 2
US1162,36052693,"[Unfinished] upload attachments",COMPLETED,9,Sprint 2
US1165,36054796,"[Unfinished] [Continued] create new contract closeout record",COMPLETED,9,Sprint 2
US1167,36062316,"[Unfinished] Analysis - GFM Data - BA",NONE,0,Sprint 2
US1171,36063987,"[Unfinished] [Continued] Obtain Access to ICMS Data Source",COMPLETED,0,Sprint 2
US1172,36064250,"[Unfinished] Model ICMS Data",COMPLETED,0,Sprint 2
US1175,36065760,"Research Utilization Property Data",COMPLETED,0,Sprint 2
