US766,35912561,"Create ICMS Data Sample",COMPLETED,0,Sprint 1
US787,35914372,"Identify PCCS Fields",COMPLETED,0,Sprint 1
US919,35960549,"[Unfinished] Analyze VIPERS Data - Part 1",NONE,0,Sprint 1
US924,35961308,"[Unfinished] Obtain Access to ICMS Data Source",COMPLETED,0,Sprint 1
US1184,36070613,"Create list of required Property data",COMPLETED,0,Sprint 1
US1214,36074883,"Identify Data Owners",NONE,0,Sprint 1
US1215,36074941,"Contact Data Owners",NONE,0,Sprint 1
US1653,36136299,"ETL Data Analysis - PCCS",IN_PROGRESS,0,Sprint 1
US1656,36136734,"BA Data Analysis - PCCS - Part 1",COMPLETED,0,Sprint 1
US793,35914905,"BA Data Analysis - SPCS",COMPLETED,0,Sprint 2
US926,35961706,"SOLR POC Support - BA",COMPLETED,0,Sprint 2
US1167,36062316,"[Unfinished] Analysis - GFM Data - BA",NONE,0,Sprint 2
US1171,36063987,"[Unfinished] [Continued] Obtain Access to ICMS Data Source",COMPLETED,0,Sprint 2
US1172,36064250,"[Unfinished] Model ICMS Data",COMPLETED,0,Sprint 2
US1175,36065760,"Research Utilization Property Data",COMPLETED,0,Sprint 2
US1221,36075650,"ETL Analysis of Raw SPCS Vendor View Source Data",COMPLETED,0,Sprint 2
US1222,36075723,"Design Raw SPCS Vendor View Table",COMPLETED,0,Sprint 2
US1240,36078149,"Design RAW_PCIS_ITEM_BASE Table",COMPLETED,0,Sprint 2
US1276,36080281,"Design RAW_PROP_TRANS_HIST Table",COMPLETED,0,Sprint 2
US1294,36081347,"Design RAW_CONDITION_CODE_VIEW Table",COMPLETED,0,Sprint 2
US1312,36082413,"Design RAW_FILE_CODE_VIEW Table",COMPLETED,0,Sprint 2
US1330,36083479,"Design RAW_BUILDING_VIEW Table",COMPLETED,0,Sprint 2
US1362,36086093,"Design RAW_PROP_ITEM_BASE Table",COMPLETED,0,Sprint 2
US1369,36087147,"Analyze SPCS fields - ETL Part 1",COMPLETED,0,Sprint 2
US1371,36088700,"DM Data Analysis - SPCS",COMPLETED,0,Sprint 2
US1390,36090901,"Design RAW_SPCS_AUDITOR_VIEW Table",COMPLETED,0,Sprint 2
US1391,36091028,"ETL Analysis of RAW_SPCS_AUDITOR_VIEW Source Data",COMPLETED,0,Sprint 2
US1408,36092268,"Design RAW_SPCS_INVENTORY_VIEW Table",COMPLETED,0,Sprint 2
US1409,36092395,"ETL Analysis of RAW_SPCS_INVENTORY_VIEW Source Data",COMPLETED,0,Sprint 2
US1426,36093635,"Design RAW_SPCS_SURVEY_VIEW Table",COMPLETED,0,Sprint 2
US1427,36093762,"ETL Analysis of RAW_SPCS_SURVEY_VIEW Source Data",COMPLETED,0,Sprint 2
US1444,36095002,"Design RAW_SPCS_CONTACT_VIEWTable",COMPLETED,0,Sprint 2
US1445,36095129,"ETL Analysis of RAW_SPCS_CONTACT_VIEW Source Data",COMPLETED,0,Sprint 2
US1480,36097736,"Design DIM_SPCS_VENDOR Table",COMPLETED,0,Sprint 2
US1481,36097868,"ETL Analysis of DIM_SPCS_VENDOR Source Data",COMPLETED,0,Sprint 2
US1483,36103424,"BA Data Analysis - Property - Part 1",COMPLETED,0,Sprint 2
US774,35913246,"BA Data Analysis - Property - Part 2",COMPLETED,0,Sprint 3
US931,35962274,"DM Data Analysis - Property",COMPLETED,0,Sprint 3
US1039,35994395,"[Continued] Analysis - GFM Data - BA",COMPLETED,0,Sprint 3
US1168,36062403,"Create Enterprise Data Request",IN_PROGRESS,0,Sprint 3
US1179,36068835,"Create Logical Model - Property",COMPLETED,0,Sprint 3
US1180,36068893,"Create Physical Model - Property",COMPLETED,0,Sprint 3
US1181,36068958,"Model Peer Review - Property",COMPLETED,0,Sprint 3
US1186,36070838,"Create Fact Property Item RAD",COMPLETED,0,Sprint 3
US1236,36076528,"Raw SPCS Vendor View BA Peer Review",COMPLETED,0,Sprint 3
